company,price,change
Yahoo FinanceGrayscale Ethereum Mini Trust ETF (ETH),"29.15 30.28 29.88 - 30.50 2.38 - 38.78 583,880 2,691,450 5,842.91+6.69(+0.11%)42,518.28+221.16(+0.52%)19,044.39-43.71(-0.23%)2,219.24+24.83(+1.13%)77.96+0.46(+0.59%)2,691.20+8.90(+0.33%)90.29+46.35(+105.48%)8.95+2.90(+47.93%)7.04+1.55(+28.23%)6.42+1.11(+20.90%)19.04+1.93(+11.28%)58.00-16.04(-21.66%)33.93-4.95(-12.73%)14.05-2.00(-12.46%)32.50-4.51(-12.19%)27.81-3.42(-10.95%)8.95+2.90(+47.93%)131.76-1.47(-1.10%)396.36-6.95(-1.72%)2.9600-0.0500(-1.66%)12.79-0.03(-0.23%)8.95+2.90(+47.93%)8.54+0.78(+9.98%)744.91-52.57(-6.59%)90.29+46.35(+105.48%)3.4300+1.4700(+75.00%)",(+0.11%)(+0.52%)(-0.23%)(+1.13%)(+0.59%)(+0.33%)(+105.48%)(+47.93%)(+28.23%)(+20.90%)(+11.28%)(-21.66%)(-12.73%)(-12.46%)(-12.19%)(-10.95%)(+47.93%)(-1.10%)(-1.72%)(-1.66%)(-0.23%)(+47.93%)(+9.98%)(-6.59%)(+105.48%)(+75.00%)
Yahoo FinanceBroadcom Inc. (AVGO),"229.41 236.82 232.66 - 238.07 117.43 - 251.88 30,526,254 28,775,106 1.113T 178.53 1.33 242.08 +3.07%+2.55%5,996.66+59.32(+1.00%)43,487.83+334.70(+0.78%)19,630.20+291.91(+1.51%)2,275.88+9.09(+0.40%)78.04-0.64(-0.81%)2,740.00-10.90(-0.40%)6.94+1.54(+28.52%)6.10+1.27(+26.29%)84.21+10.62(+14.43%)39.00+3.58(+10.11%)49.74+4.40(+9.70%)9.83-1.41(-12.54%)121.81-11.16(-8.39%)48.19-3.88(-7.45%)172.45-13.75(-7.38%)14.44-1.14(-7.32%)137.71+4.14(+3.10%)9.83-1.41(-12.54%)21.49+1.82(+9.25%)2.4400-0.3000(-10.95%)426.50+12.68(+3.06%)21.49+1.82(+9.25%)0.42+0.04(+9.09%)34.06+0.30(+0.89%)78.69-4.38(-5.27%)5,996.66+59.32(+1.00%)",+3.07%+2.55%(+1.00%)(+0.78%)(+1.51%)(+0.40%)(-0.81%)(-0.40%)(+28.52%)(+26.29%)(+14.43%)(+10.11%)(+9.70%)(-12.54%)(-8.39%)(-7.45%)(-7.38%)(-7.32%)(+3.10%)(-12.54%)(+9.25%)(-10.95%)(+3.06%)(+9.25%)(+9.09%)(+0.89%)(-5.27%)(+1.00%)
Yahoo FinanceThe Walt Disney Company (DIS),"106.46 106.83 106.54 - 107.74 83.91 - 123.74 7,101,380 9,120,118 193.807B 39.35 2.72 124.47 +1.87%+3.84%5,996.66+59.32(+1.00%)43,487.83+334.70(+0.78%)19,630.20+291.91(+1.51%)2,275.88+9.09(+0.40%)78.04-0.64(-0.81%)2,740.00-10.90(-0.40%)6.94+1.54(+28.52%)6.10+1.27(+26.29%)84.21+10.62(+14.43%)39.00+3.58(+10.11%)49.74+4.40(+9.70%)9.83-1.41(-12.54%)121.81-11.16(-8.39%)48.19-3.88(-7.45%)172.45-13.75(-7.38%)14.44-1.14(-7.32%)137.71+4.14(+3.10%)9.83-1.41(-12.54%)21.49+1.82(+9.25%)2.4400-0.3000(-10.95%)426.50+12.68(+3.06%)21.49+1.82(+9.25%)0.42+0.03(+8.91%)34.06+0.30(+0.89%)78.69-4.38(-5.27%)5,996.66+59.32(+1.00%)",+1.87%+3.84%(+1.00%)(+0.78%)(+1.51%)(+0.40%)(-0.81%)(-0.40%)(+28.52%)(+26.29%)(+14.43%)(+10.11%)(+9.70%)(-12.54%)(-8.39%)(-7.45%)(-7.38%)(-7.32%)(+3.10%)(-12.54%)(+9.25%)(-10.95%)(+3.06%)(+9.25%)(+8.91%)(+0.89%)(-5.27%)(+1.00%)
"Yahoo FinancePalo Alto Networks, Inc. (PANW)","173.42 169.77 166.21 - 170.53 130.04 - 207.24 3,253,485 5,063,957 109.507B 43.35 3.85 202.65 5,810.00-17.04(-0.29%)42,136.44+197.99(+0.47%)18,988.58-173.04(-0.90%)2,176.59-12.64(-0.58%)79.12+2.55(+3.33%)2,682.10-32.90(-1.21%)127.35+32.48(+34.24%)28.64+4.75(+20.06%)33.97+4.89(+16.80%)27.50+3.51(+14.63%)40.15+4.84(+13.71%)33.59-8.66(-20.50%)131.58-29.34(-18.23%)22.14-4.61(-17.23%)32.16-5.37(-14.30%)37.35-5.65(-13.15%)132.32-3.59(-2.64%)2.9299-0.0901(-2.99%)2.7450-0.1250(-4.36%)64.52-2.74(-4.07%)394.36-0.38(-0.10%)33.57-8.68(-20.54%)7.89+6.20(+366.86%)40.45+5.14(+14.56%)3.9400+2.3800(+153.36%)131.78-29.14(-18.11%)",(-0.29%)(+0.47%)(-0.90%)(-0.58%)(+3.33%)(-1.21%)(+34.24%)(+20.06%)(+16.80%)(+14.63%)(+13.71%)(-20.50%)(-18.23%)(-17.23%)(-14.30%)(-13.15%)(-2.64%)(-2.99%)(-4.36%)(-4.07%)(-0.10%)(-20.54%)(+366.86%)(+14.56%)(+153.36%)(-18.11%)
Yahoo FinanceApple Inc. (AAPL),"228.26 232.12 228.48 - 232.29 164.08 - 260.10 67,440,511 45,528,086 3.458T 37.89 6.07 247.93 +0.24%+0.26%5,996.66+59.32(+1.00%)43,487.83+334.70(+0.78%)19,630.20+291.91(+1.51%)2,275.88+9.09(+0.40%)78.04-0.64(-0.81%)2,740.00-10.90(-0.40%)6.94+1.54(+28.52%)6.10+1.27(+26.29%)84.21+10.62(+14.43%)39.00+3.58(+10.11%)49.74+4.40(+9.70%)9.83-1.41(-12.54%)121.81-11.16(-8.39%)48.19-3.88(-7.45%)172.45-13.75(-7.38%)14.44-1.14(-7.32%)137.71+4.14(+3.10%)9.83-1.41(-12.54%)21.49+1.82(+9.25%)2.4400-0.3000(-10.95%)426.50+12.68(+3.06%)21.49+1.82(+9.25%)0.42+0.04(+9.09%)34.06+0.30(+0.89%)78.69-4.38(-5.27%)5,996.66+59.32(+1.00%)",+0.24%+0.26%(+1.00%)(+0.78%)(+1.51%)(+0.40%)(-0.81%)(-0.40%)(+28.52%)(+26.29%)(+14.43%)(+10.11%)(+9.70%)(-12.54%)(-8.39%)(-7.45%)(-7.38%)(-7.32%)(+3.10%)(-12.54%)(+9.25%)(-10.95%)(+3.06%)(+9.25%)(+9.09%)(+0.89%)(-5.27%)(+1.00%)
Yahoo FinanceMicrosoft Corporation (MSFT),"424.58 434.09 428.17 - 434.39 385.58 - 468.35 25,262,115 21,088,331 3.19T 35.08 12.23 508.46 5,996.66+59.32(+1.00%)43,487.83+334.70(+0.78%)19,630.20+291.91(+1.51%)2,275.88+9.09(+0.40%)78.04-0.64(-0.81%)2,740.00-10.90(-0.40%)6.94+1.54(+28.52%)6.10+1.27(+26.29%)84.21+10.62(+14.43%)39.00+3.58(+10.11%)49.74+4.40(+9.70%)9.83-1.41(-12.54%)121.81-11.16(-8.39%)48.19-3.88(-7.45%)172.45-13.75(-7.38%)14.44-1.14(-7.32%)137.71+4.14(+3.10%)9.83-1.41(-12.54%)21.49+1.82(+9.25%)2.4400-0.3000(-10.95%)426.50+12.68(+3.06%)21.49+1.82(+9.25%)0.42+0.04(+9.31%)34.06+0.30(+0.89%)78.69-4.38(-5.27%)5,996.66+59.32(+1.00%)",(+1.00%)(+0.78%)(+1.51%)(+0.40%)(-0.81%)(-0.40%)(+28.52%)(+26.29%)(+14.43%)(+10.11%)(+9.70%)(-12.54%)(-8.39%)(-7.45%)(-7.38%)(-7.32%)(+3.10%)(-12.54%)(+9.25%)(-10.95%)(+3.06%)(+9.25%)(+9.31%)(+0.89%)(-5.27%)(+1.00%)
Yahoo FinanceAlphabet Inc. (GOOG),"194.41 198.11 195.31 - 198.81 131.55 - 202.88 20,927,395 19,316,326 2.408T 25.79 7.66 216.00 +0.24%+0.46%5,996.66+59.32(+1.00%)43,487.83+334.70(+0.78%)19,630.20+291.91(+1.51%)2,275.88+9.09(+0.40%)78.04-0.64(-0.81%)2,740.00-10.90(-0.40%)6.94+1.54(+28.52%)6.10+1.27(+26.29%)84.21+10.62(+14.43%)39.00+3.58(+10.11%)49.74+4.40(+9.70%)9.83-1.41(-12.54%)121.81-11.16(-8.39%)48.19-3.88(-7.45%)172.45-13.75(-7.38%)14.44-1.14(-7.32%)137.71+4.14(+3.10%)9.83-1.41(-12.54%)21.49+1.82(+9.25%)2.4400-0.3000(-10.95%)426.50+12.68(+3.06%)21.49+1.82(+9.25%)0.42+0.04(+9.09%)34.06+0.30(+0.89%)78.69-4.38(-5.27%)5,996.66+59.32(+1.00%)",+0.24%+0.46%(+1.00%)(+0.78%)(+1.51%)(+0.40%)(-0.81%)(-0.40%)(+28.52%)(+26.29%)(+14.43%)(+10.11%)(+9.70%)(-12.54%)(-8.39%)(-7.45%)(-7.38%)(-7.32%)(+3.10%)(-12.54%)(+9.25%)(-10.95%)(+3.06%)(+9.25%)(+9.09%)(+0.89%)(-5.27%)(+1.00%)
"Yahoo FinanceTesla, Inc. (TSLA)","413.82 421.72 419.77 - 439.74 138.80 - 488.54 93,672,601 94,086,613 1.369T 116.21 3.67 304.53 +0.73%-1.68%5,996.66+59.32(+1.00%)43,487.83+334.70(+0.78%)19,630.20+291.91(+1.51%)2,275.88+9.09(+0.40%)78.04-0.64(-0.81%)2,740.00-10.90(-0.40%)6.94+1.54(+28.52%)6.10+1.27(+26.29%)84.21+10.62(+14.43%)39.00+3.58(+10.11%)49.74+4.40(+9.70%)9.83-1.41(-12.54%)121.81-11.16(-8.39%)48.19-3.88(-7.45%)172.45-13.75(-7.38%)14.44-1.14(-7.32%)137.71+4.14(+3.10%)9.83-1.41(-12.54%)21.49+1.82(+9.25%)2.4400-0.3000(-10.95%)426.50+12.68(+3.06%)21.49+1.82(+9.25%)0.42+0.04(+9.58%)34.06+0.30(+0.89%)78.69-4.38(-5.27%)5,996.66+59.32(+1.00%)",+0.73%-1.68%(+1.00%)(+0.78%)(+1.51%)(+0.40%)(-0.81%)(-0.40%)(+28.52%)(+26.29%)(+14.43%)(+10.11%)(+9.70%)(-12.54%)(-8.39%)(-7.45%)(-7.38%)(-7.32%)(+3.10%)(-12.54%)(+9.25%)(-10.95%)(+3.06%)(+9.25%)(+9.58%)(+0.89%)(-5.27%)(+1.00%)
Yahoo FinanceAllianceBernstein Holding L.P. (AB),"35.33 35.92 35.54 - 36.03 30.57 - 38.96 60,349 374,926 4.038B 10.23 3.48 40.00 5,937.74+94.83(+1.62%)43,156.85+638.57(+1.50%)19,456.79+412.40(+2.17%)2,266.45+47.22(+2.13%)78.90+1.40(+1.81%)2,701.10+18.80(+0.70%)37.40+7.89(+26.75%)10.82+1.87(+20.90%)37.21+5.38(+16.90%)6.55+0.97(+17.29%)26.09+3.28(+14.38%)5.49-0.93(-14.49%)6.09-0.95(-13.49%)59.42-6.23(-9.49%)137.70-11.61(-7.78%)13.92-1.10(-7.30%)10.82+1.87(+20.90%)134.86+3.10(+2.35%)14.43+1.64(+12.83%)37.40+7.89(+26.75%)2.7900+0.1300(+4.88%)251.58+4.11(+1.66%)77.89+4.39(+5.97%)75.14+3.95(+5.55%)602.87+31.34(+5.48%)10.49+1.53(+17.15%)",(+1.62%)(+1.50%)(+2.17%)(+2.13%)(+1.81%)(+0.70%)(+26.75%)(+20.90%)(+16.90%)(+17.29%)(+14.38%)(-14.49%)(-13.49%)(-9.49%)(-7.78%)(-7.30%)(+20.90%)(+2.35%)(+12.83%)(+26.75%)(+4.88%)(+1.66%)(+5.97%)(+5.55%)(+5.48%)(+17.15%)
Yahoo FinanceNVIDIA Corporation (NVDA),"133.57 136.21 135.47 - 138.50 58.58 - 153.13 199,339,142 213,222,926 3.373T 54.43 2.53 173.08 -9.29%-21.40%5,996.66+59.32(+1.00%)43,487.83+334.70(+0.78%)19,630.20+291.91(+1.51%)2,275.88+9.09(+0.40%)78.04-0.64(-0.81%)2,740.00-10.90(-0.40%)6.94+1.54(+28.52%)6.10+1.27(+26.29%)84.21+10.62(+14.43%)39.00+3.58(+10.11%)49.74+4.40(+9.70%)9.83-1.41(-12.54%)121.81-11.16(-8.39%)48.19-3.88(-7.45%)172.45-13.75(-7.38%)14.44-1.14(-7.32%)137.71+4.14(+3.10%)9.83-1.41(-12.54%)21.49+1.82(+9.25%)2.4400-0.3000(-10.95%)426.50+12.68(+3.06%)21.49+1.82(+9.25%)0.42+0.04(+9.46%)34.06+0.30(+0.89%)78.69-4.38(-5.27%)5,996.66+59.32(+1.00%)",-9.29%-21.40%(+1.00%)(+0.78%)(+1.51%)(+0.40%)(-0.81%)(-0.40%)(+28.52%)(+26.29%)(+14.43%)(+10.11%)(+9.70%)(-12.54%)(-8.39%)(-7.45%)(-7.38%)(-7.32%)(+3.10%)(-12.54%)(+9.25%)(-10.95%)(+3.06%)(+9.25%)(+9.46%)(+0.89%)(-5.27%)(+1.00%)
